Referendar,
Referent für die Bücherzensur in der Böhmisch-Österreichischen Hofkanzlei,
Referent für die Bücherzensur in der Böhmisch-Österreichischen Hofkanzlei bzw. im Directorium,
Reformator,
Reformer,
Reggente von Mantua,
Regimentsmarschall,
Regimentssekretär,
Reichsbauzahlmeister,
Reichsgeneralfeldmarschall,
Reichsgeneralpostmeister,
Reichsgeneralpostmeisterin,
Reichshoffiskal,
Reichshofrat,
Reichshofratspräsident,
Reichshofratsvizepräsident,
Reichspfennigmeister,
Reichspostmeister von Nürnberg,
Reichsvizekanzler,
Roi d’Armes,
sächsicher Beamter,
sächsischer Reichspfennigmeister,
Salonière,
Salzamtmann,
Schatzmeister,
Schif(f )er (Schiefer) von Freyling,
Schiffsarmementsdirektor,
schlesischer Kammerrat,
Schriftsteller,
Schriftstellerin,
Sekretär der Böhmischen Hofkanzlei,
Sekretär der Böhmischen Kanzlei,
Sekretär der Böhmischen Kanzlei Friedrichs von der Pfalz,
Sekretär der Hofkanzlei,
Sekretär der Kanzlei des ständischen Direktoriums in Prag,
Sekretär der mährischen Hofexpedition,
Sekretär der Reichshofkanzlei,
Sekretär der Schlesischen Kanzlei,
Sekretär Maximilians I.,
Siebenbürgischer Hofkanzler,
Siebenbürgischer Vizekanzler,
Soziologe,
Spanischen bzw. Italienischen Rates,
spanischer Diplomat,
spanischer Oberststallmeister,
spanischer Rat,
Staatskanzler,
Staatsmann,
Staatsminister,
Staatsrat,
Staatsratskanzlei-Sekretär,
Staatsrechtler,
Staatsreferendar,
Stallmeister,
Ständepolitiker,
Statthalter des Landesverwesers in Kärnten,
Statthalter in den Niederlanden,
Statthalterin der Spanischen Niederlande,
Statthalter von Ungarn,
steirischer Bauer,
stellvertretender Direktor der Zipser Kammer/Administration,
Steuerkommissär,
Steuerpächter,
Studienhofreferent,
Superintendent,
Tabakpächter,
Tanzmeister,
Theaterdirektor,
Theaterpächter,
Theaterunternehmer,
Theatraladjutant,
Theatralinspektor,
Theatralkommissar,
Tierarzt,
Tiroler Amtmann,
Tiroler Kanzler,
Topograph,
toskanischer Botschafter,
Trésorier des Ordens vom Goldenen Vlies,
ungarischer Heerführer,
ungarischer Oberster,
ungarischer Politiker,
ungarischer Reichsverweser,
Unternehmer,
venezianischer Diplomat,
venezianischer Gesandter,
Verleger,
Vertreter des Reichsvizekanzleramts,
Verwalter,
Verwalter der Böhmischen Kammer,
Verwalter der Hofkammer,
Verwalter der Hofkanzlei,
Verwalter der kaiserlichen Privatgüter,
Verwalter des Landesvizedom­amts in Krain,
Verwalter des Obersthofmarschallamts,
Verwalter des Obersthofmeisteramts,
Verwalter des Obersthofmeister­amts,
Verwalter des Obersthofmeisteramts Bianca Maria Sforzas,
Verwalter des Obersthofpostmeisteramts,
Verwalter des Oberststallmeisteramts,
Verweser,
Verweser der Tiroler Kanzlei,
Verweser des Marschallamts,
Verweser des Reichsvizekanzleramts,
Verweser des Vizedomamts,
Verweser des Vizedomamts Kärnten von Krain,
Vizeadmiral,
Vize-Ayo,
Vizedomamtsverweser der Steiermark,
Vizedom von Kärnten,
Vizedom von Krain,
Vizedom von Österreich unter der Enns,
Vizehofbaudirektor,
Vizehofmeister Eleonoras d. J. Gonzaga-Nevers,
Vizekanzler,
Vizekanzler der Böhmischen,
Vizekanzler der Böhmischen Hofkanzlei,
Vizekanzler der Böhmischen Kanzlei,
Vizekanzler der Böhmisch-Österreichischen Hofkanzlei,
Vizekanzler der Hofkanzlei,
Vizekanzler der Staatskanzlei,
Vizekönig von Lombardo-Venetien,
Vizepräsident,
Vizepräsident der Oberösterreichischen Hofkammer,
Vizepräsident der Oberösterreichischen Kammer,
Vizepräsident der Obersten Justizstelle,
Vizepräsident der Polizeihofstelle,
Vizepräsident der Schlesischen Kammer,
Vizepräsident der Zipser Kammer/Administration,
Vizepräsident und Präsident der Oberösterreichischen,
vorderösterreichischer Regierungspräsident,
Vorstand der Geheimen Kabinetts- bzw. Ziffernkanzlei in Hofrat der Galizischen Hofkanzlei,
Vorstand der Siebenbürgischen Hofkanzlei,
Vorsteher des Oberschiff­amts,
Vorsteher des Oberstschiff­amts,
Waffenerzeuger,
Wappeninspektor,
Wiener Magistratsbeamter,
Zar von Russland,
zeitweise Verwalter des Oberststallmeisteramts,
Zweiter Obersthofmeister,
Zweiter Obersthofmeister Maria,
Zweiter Obersthofmeister Maria Theresias,
Zweiter Österreichischer Hofkanzler,
Wiener Magistratsbeamter,
Zar von Russland,
zeitweise Verwalter des Oberststallmeisteramts,
Zweiter Obersthofmeister,
Zweiter Obersthofmeister Maria,
Zweiter Obersthofmeister Maria Theresias,
Zweiter Österreichischer Hofkanzler,
